dataset,station,component,method,peak_time,score,floor_detect,floor_signif,significant
ingv,ECPN,mag,stack,2023-02-10 19:50:34,0.3727,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-10 22:34:42,0.3794,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-11 06:52:45,0.3677,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 00:07:39,0.3673,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 01:13:46,0.388,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-12 03:25:10,0.3897,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-12 09:22:53,0.4206,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-12 10:45:55,0.3662,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 19:14:04,0.3697,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 21:53:00,0.3691,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-13 06:19:11,0.4082,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-13 18:01:40,0.386,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-13 23:30:28,0.3922,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-14 17:12:51,0.3747,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-15 01:18:33,0.382,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-15 02:41:17,0.388,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-15 11:22:03,0.3953,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-16 12:50:13,0.3976,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-16 23:32:12,0.388,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-17 06:12:32,0.3808,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-17 21:19:55,0.4029,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-17 22:57:51,0.3987,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-18 17:11:02,0.3966,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-19 14:02:58,0.3725,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-19 15:24:45,0.3889,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-21 03:58:11,0.3951,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-21 08:16:31,0.3782,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-21 18:43:22,0.3927,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-22 16:28:05,0.3861,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-23 18:26:40,0.3684,0.363,0.372,False
ingv,ECPN,vec,max,2022-11-15 18:34:59,0.5635,0.503,0.521,True
ingv,ECPN,vec,max,2022-11-23 07:32:40,0.5106,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-23 19:18:12,0.5035,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-24 07:01:55,0.5055,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-26 19:45:34,0.5975,0.503,0.521,True
ingv,ECPN,vec,max,2022-11-27 05:55:12,0.5141,0.503,0.521,False
ingv,ECPN,vec,max,2022-11-30 03:03:49,0.5555,0.503,0.521,True
ingv,ECPN,vec,max,2022-12-01 02:44:59,0.571,0.503,0.521,True
