dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag
experiment,EC1,sim4,template2,0.2994321073401888,0.2484174657440836,0.15462884799474746,0.3208955747502402,136.49405379735308,False,False,False
experiment,EC1,sim1,template1,0.2738428436176869,0.5650903055940361,0.3975112514979792,0.4063356124582032,48.45775304621501,False,True,False
experiment,EC1,sim2,template1,0.020872132620197287,0.5747642848424429,0.002062203629125112,0.4870893019267562,28.453818472789923,False,True,False
experiment,EC1,sim1,template1,0.3698315989139949,0.130341791006739,0.13095022982493074,0.3392606639036039,85.28528197192335,False,False,False
experiment,EC1,sim3,template1,0.15236512637550323,0.4715911225149209,0.2811345723116844,0.3435509875677547,134.12672694809723,False,False,False
experiment,EC1,sim1,template3,0.08941498311457612,0.27468426386554534,0.1693020876948922,0.26871286896485996,73.85964751281418,False,False,False
experiment,EC1,sim3,template2,0.02742445186612531,0.42610704716117453,0.3938197438932815,0.30354318919243023,144.34908298510302,False,False,False
experiment,EC1,sim3,template1,0.2986612526129239,0.2470208737177819,0.04320077051900974,0.2893946933280064,87.23197527991236,False,False,False
experiment,EC1,sim1,template2,0.33306529249859834,0.10441779195656609,0.03368690168231885,0.32636532069407487,120.3148730621955,False,False,False
experiment,EC1,sim2,template1,0.35537517140700675,0.027793741784722888,0.08040599546617165,0.2853219223323007,59.07434089803598,False,False,False
experiment,EC1,sim1,template3,0.3186391987374721,0.42156709585182006,0.2616956442437298,0.34823182788209833,22.390038854337124,False,False,False
experiment,EC1,sim1,template3,0.5193550086598105,0.16788709434505245,0.114680079638808,0.368626097972821,121.86266848249856,True,False,False
experiment,EC1,sim1,template2,0.36132106684332577,0.1316489144670918,0.13733503506915226,0.34103850309283007,120.91301486120958,False,False,False
experiment,EC1,sim3,template3,0.20161318041781046,0.29834152320522395,0.2178371809255821,0.25799614767528833,66.8251318559353,False,False,False
experiment,EC1,sim2,template3,0.26394843522976286,0.4038259385544333,0.3103064445109857,0.3301876585149492,66.32929176255928,False,False,False
experiment,EC1,sim2,template1,0.3653364251018027,0.007174130807084885,0.04037069485250669,0.28302167659525435,116.5655304983079,False,False,False
experiment,EC1,sim2,template1,0.15624032390391532,0.5898746989301716,0.2800387397028594,0.4038842434429042,10.217226783884763,False,True,False
experiment,EC1,sim2,template1,0.2496383604542545,0.24082457720294115,0.2114851659359275,0.24480555058906497,164.30472720471522,False,False,False
experiment,EC1,sim2,template2,0.33321633132702444,0.12279891522826782,0.0209333186123863,0.2768133966205469,103.49932564744971,False,False,False
experiment,EC1,sim2,template1,0.004758819271436086,0.4645025359196983,0.4505969545487261,0.36101003959070405,27.99239035197985,False,False,False
experiment,EC1,sim4,template2,0.11066827753319693,0.44243682773383836,0.33376948832914455,0.31134783427326806,2.536983617004189,False,False,False
experiment,EC1,sim3,template1,0.23888495856984499,0.2964287587348966,0.17254537965706251,0.26889966522348596,67.1164722036076,False,False,False
experiment,EC1,sim1,template2,0.3759537698169719,0.027570463071444798,0.04359447162972458,0.30551017490239146,105.2277531171644,False,False,False
experiment,EC1,sim1,template1,0.08493907982468715,0.3989450238866325,0.27062932337228246,0.2870558534655424,164.86876647857997,False,False,False
experiment,EC1,sim4,template3,0.43078124861818057,0.06853928746028218,0.03227828099397023,0.3372439588635814,111.44512687600287,False,False,False
experiment,EC1,sim1,template3,0.09662042715822865,0.34389176296838203,0.2729308485850914,0.28744518253032225,6.707382611884301,False,False,False
experiment,EC1,sim2,template2,0.503982325675915,0.12990699122477434,0.10054759385946645,0.4891192046289223,115.59987197319967,True,False,False
