dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag,peak_time
ingv,ECPN,sim4,template1,0.10273226484264797,0.6002907135124195,0.6111699719183415,0.37299070366582643,152.72717887952814,False,False,False,2023-01-05 05:27:56
ingv,ECPN,sim4,template1,0.18820027206402104,0.6207261054223132,0.6223685882876344,0.47430733699470623,0.4903665207509969,False,False,False,2023-02-15 01:18:03
ingv,ECPN,sim4,template1,0.05722549334075621,0.561273010681679,0.5556571370122064,0.39201768793979935,24.995544871424794,False,False,False,2022-12-22 21:39:59
ingv,ECPN,sim3,template2,0.0662321367357721,0.6325616988884388,0.6246418008374187,0.37170591921403046,20.726555042496877,False,False,False,2023-01-04 04:12:50
ingv,ECPN,sim4,template3,0.5597431783632925,0.5272676012975375,0.5228315246110369,0.5469401609788964,136.9402355577176,True,False,False,2022-12-07 12:41:18
ingv,ECPN,sim2,template1,0.52713338209737,0.35912631230433395,0.34795282254826065,0.4513266623419757,36.25145707218795,False,False,False,2022-12-02 09:55:46
ingv,ECPN,sim3,template3,0.23771637395178985,0.6541446552707462,0.6541104260811772,0.53952203853892,2.233446694846648,False,False,False,2023-01-10 16:17:07
ingv,ECPN,sim3,template2,0.5330530612636268,0.531191573711857,0.47817790943708094,0.5421754980963805,40.00915054523738,False,False,False,2023-01-27 10:37:06
ingv,ECPN,sim2,template2,0.5542825450107384,0.4082391575235967,0.38899072643654786,0.4669191669566633,148.86890654901993,True,False,False,2023-01-10 10:22:56
ingv,ECPN,sim4,template1,0.26224398625158574,0.46904903666998826,0.46196197303669606,0.3099044298867427,53.19756905355212,False,False,False,2023-01-07 05:38:41
ingv,ECPN,sim3,template3,0.17875668440329504,0.56190135690823,0.5611560206580218,0.43567959774718823,146.6584075626921,False,False,False,2022-12-29 08:58:28
ingv,ECPN,sim4,template2,0.5404731383123487,0.19993452785601717,0.18868347209031186,0.4701761301105408,65.40291023036814,False,False,False,2022-12-18 12:37:03
ingv,ECPN,sim2,template3,0.11807666603501368,0.5322343927028232,0.5315990481422213,0.40478999711567804,175.97242694248231,False,False,False,2023-01-10 21:10:26
ingv,ECPN,sim3,template3,0.03726023559453406,0.587080671434497,0.5724335356775364,0.44383409046386135,166.4994949531591,False,False,False,2023-02-08 07:31:40
ingv,ECPN,sim4,template2,0.35255227598013744,0.5757394953223295,0.5748538037142268,0.4963260637108516,164.74426151884128,False,False,False,2022-12-07 10:44:06
ingv,ECPN,sim3,template1,0.1898468436399041,0.5524135695618847,0.548684719503385,0.376794000917129,136.9190193553943,False,False,False,2022-12-30 16:31:02
ingv,ECPN,sim4,template2,0.496780118457425,0.004071074570941655,0.00043764828187664204,0.38556691129875553,81.22122625441352,False,False,False,2022-12-13 02:28:22
ingv,ECPN,sim2,template3,0.3543080760775715,0.4353503194187697,0.45893566263855834,0.39455850536312403,57.51535706107969,False,False,False,2023-02-21 03:58:07
ingv,ECPN,sim4,template3,0.43675539996011103,0.5954786060250356,0.6270504990777535,0.4535436655941061,60.87194442886208,False,False,False,2023-01-07 07:40:46
ingv,ECPN,sim4,template3,0.10856336267768787,0.6239870599877615,0.6007377943142219,0.4703412316558568,174.99402735852667,False,False,False,2023-02-23 18:25:50
ingv,ECPN,sim3,template2,0.4849493938762652,0.4831847205394262,0.5310006171341967,0.491080869968689,66.58791481926923,False,False,False,2023-02-19 12:18:01
ingv,ECPN,sim4,template3,0.34335380866777354,0.5700718444536645,0.572586668305597,0.48676861866792803,18.04338458029295,False,False,False,2023-01-10 15:37:47
ingv,ECPN,sim4,template3,0.4633238025695985,0.36954354004862067,0.4125627645104824,0.3991892981056425,64.54385394945604,False,False,False,2023-01-27 16:39:31
ingv,ECPN,sim4,template3,0.001769688714501791,0.6858703535392762,0.6759694239698011,0.47162060099825964,6.221611462737017,False,True,True,2023-01-07 04:33:32
ingv,ECPN,sim3,template3,0.005754098506909152,0.6157733791085085,0.6159990138567861,0.41850150753380033,167.07966860116505,False,False,False,2023-01-03 03:07:26
ingv,ECPN,sim2,template3,0.23519315710273883,0.5305643833692565,0.5390702165556548,0.3953568519064809,141.36652984431933,False,False,False,2022-12-25 23:09:59
ingv,ECPN,sim3,template2,0.19139238797014813,0.6441691249034424,0.6362403474169875,0.44895217989015335,7.693557425912146,False,True,True,2023-02-01 13:16:26
ingv,ECPN,sim2,template1,0.1698040142148149,0.5579816028202823,0.5681864244262379,0.43877873634772285,175.2512346120962,False,True,True,2023-02-22 16:28:02
ingv,ECPN,sim4,template1,0.14507711682217533,0.562978278309372,0.5486699866759316,0.36567281908820487,4.799446171343146,False,False,False,2023-01-12 02:37:55
ingv,ECPN,sim2,template2,0.05538424206026485,0.5875933688906955,0.5934170240803079,0.44537433771013935,160.17205366079705,False,False,False,2023-02-19 15:24:45
ingv,ECPN,sim4,template1,0.15895122953819196,0.6333554947553992,0.6295774824968603,0.5710446370387587,155.80875012626257,False,False,False,2022-12-01 02:44:59
