dataset,kind,rho,chisq
experiment,real signal,0.9040660984229105,0.14194025096947685
experiment,real signal,0.9262995085658431,0.0633795783145394
experiment,real signal,0.9039696046866451,0.035337602513183124
experiment,real signal,0.8534767232768757,0.18324487956343272
experiment,real signal,0.9067313228511893,0.1962298162071306
experiment,real signal,0.8986090865571928,0.099166544299332
experiment,real signal,0.8963738768975723,0.06697951925337386
experiment,real signal,0.8998349081840392,0.14329720406692595
experiment,real signal,0.9310533821279443,0.1949754650611325
experiment,real signal,0.9111373741637947,0.1092346465568285
experiment,real signal,0.932591889935586,0.16976105581102513
experiment,real signal,0.8671297820027656,0.09617987752581522
experiment,real signal,0.8601440914171721,0.1423025364186075
experiment,real signal,0.803397078677288,0.44181419478485756
experiment,real signal,0.8689131765851653,0.22448760339703483
experiment,real signal,0.8594950595159699,0.33889668169544934
experiment,real signal,0.9524616057102281,0.05077845927824562
experiment,real signal,0.9397432634978201,0.029790543097725514
experiment,real signal,0.9124787804389597,0.15156306217123558
experiment,real signal,0.8963205961860508,0.20642737602854422
experiment,real signal,0.911914661895037,0.2125717384302154
experiment,real signal,0.8843473415765892,0.40873979179120745
experiment,real signal,0.8992232703031482,0.6010257614006195
experiment,real signal,0.8582695778648517,0.20343098913809668
experiment,real signal,0.9050673163748368,0.14419276185940724
experiment,real signal,0.8919616414218697,0.1788453132652796
experiment,real signal,0.915074668384342,0.10572475371165865
experiment,real signal,0.9476241254519859,0.13916285362293243
experiment,real signal,0.8524442642780943,0.12781401613947946
experiment,real signal,0.9170509020415598,0.03862922803057447
experiment,real signal,0.8903504537865018,0.06058884669997253
experiment,real signal,0.9168799760346505,0.15951967522361118
experiment,real signal,0.889683445526935,0.19423014246037076
experiment,real signal,0.9056708460973939,0.23893491105181686
experiment,real signal,0.8977720696970669,0.07821249949682481
experiment,real signal,0.8956316894103019,0.10332743316441174
experiment,real signal,0.9600051835333537,0.04036543879154786
experiment,real signal,0.9029985410886857,0.1544418991396594
experiment,real signal,0.9091146391269919,0.11420818299071914
experiment,real signal,0.910184087251141,0.023967816336679347
experiment,real signal,0.9014725120989011,0.24174453024967937
experiment,real signal,0.9179752001621484,0.050905342716015864
experiment,real signal,0.9630069457591821,0.10426137671128913
experiment,real signal,0.9007995414823409,0.12090536957393641
experiment,real signal,0.9113128573122102,0.07033225532624995
experiment,real signal,0.8464775425341599,0.175460578866054
experiment,real signal,0.9569572942783344,0.0731661799330319
experiment,real signal,0.885669602796567,0.04678517458756698
experiment,real signal,0.8971850874268186,0.0901296628674624
experiment,real signal,0.8660870726031082,0.10806355658939691
experiment,real signal,0.8956508455034184,0.3359114562594412
experiment,real signal,0.8344998671278158,0.07081577609126068
experiment,real signal,0.9043323109574996,0.06859274432746254
experiment,real signal,0.9069075516535006,0.1589723721474204
experiment,real signal,0.9155631627984275,0.09964145884440592
experiment,real signal,0.9163641309006311,0.024313915684619127
experiment,real signal,0.8978643040330094,0.14710346618327577
experiment,real signal,0.9059231036685623,0.3240043656416994
experiment,real signal,0.8832286094523533,0.14244684399983493
experiment,real signal,0.8878239497085199,0.03325728414997392
experiment,real signal,0.9502913662465471,0.051041978862971654
experiment,real signal,0.8810384820376069,0.08663408360726865
experiment,real signal,0.9515750758705985,0.07953079028731293
experiment,real signal,0.9172061763153224,0.07621325528733339
experiment,real signal,0.8529993167543835,0.26374943553141317
experiment,real signal,0.9003346540565087,0.16566294533099146
experiment,real signal,0.951798057302512,0.045697098732987156
experiment,real signal,0.9391234661430485,0.03293133104931006
experiment,real signal,0.9188899875953326,0.24481158882627124
experiment,real signal,0.8760483529625944,0.25470246528493684
experiment,real signal,0.9284052917123405,0.041393964023235266
experiment,real signal,0.9410740839968014,0.06333024548779169
experiment,real signal,0.890658406231943,0.23546006364395924
